Date,IBM
2000-06-27 00:00:00 UTC,76.900055
2000-06-28 00:00:00 UTC,79.724663
2000-06-29 00:00:00 UTC,79.877953
2000-06-30 00:00:00 UTC,76.768692
2000-07-03 00:00:00 UTC,76.724884
2000-07-04 00:00:00 UTC,76.724884
2000-07-05 00:00:00 UTC,73.571793
2000-07-06 00:00:00 UTC,70.944244
2000-07-07 00:00:00 UTC,73.615608
2000-07-10 00:00:00 UTC,72.389404
2000-07-11 00:00:00 UTC,71.469757
2000-07-12 00:00:00 UTC,73.309059
2000-07-13 00:00:00 UTC,72.871094
2000-07-14 00:00:00 UTC,72.827316
2000-07-17 00:00:00 UTC,73.92215
2000-07-18 00:00:00 UTC,72.389404
2000-07-19 00:00:00 UTC,76.199371
2000-07-20 00:00:00 UTC,82.155174
2000-07-21 00:00:00 UTC,80.403458
2000-07-24 00:00:00 UTC,78.826935
2000-07-25 00:00:00 UTC,78.47657
2000-07-26 00:00:00 UTC,76.987617
2000-07-27 00:00:00 UTC,77.294189
2000-07-28 00:00:00 UTC,78.345222
2000-07-31 00:00:00 UTC,78.651756
2000-08-01 00:00:00 UTC,77.425568
2000-08-02 00:00:00 UTC,80.053116
2000-08-03 00:00:00 UTC,81.279327
2000-08-04 00:00:00 UTC,81.19175
2000-08-07 00:00:00 UTC,81.498291
2000-08-08 00:00:00 UTC,83.386978
2000-08-09 00:00:00 UTC,83.299309
2000-08-10 00:00:00 UTC,84.000786
2000-08-11 00:00:00 UTC,84.614594
2000-08-14 00:00:00 UTC,86.455917
2000-08-15 00:00:00 UTC,85.579063
2000-08-16 00:00:00 UTC,85.842117
2000-08-17 00:00:00 UTC,85.929794
2000-08-18 00:00:00 UTC,84.483078
2000-08-21 00:00:00 UTC,85.184525
2000-08-22 00:00:00 UTC,85.140671
2000-08-23 00:00:00 UTC,86.455917
2000-08-24 00:00:00 UTC,87.551987
2000-08-25 00:00:00 UTC,90.489357
2000-08-28 00:00:00 UTC,92.243027
2000-08-29 00:00:00 UTC,93.207573
2000-08-30 00:00:00 UTC,91.410019
2000-08-31 00:00:00 UTC,92.604675
2000-09-01 00:00:00 UTC,93.733643
2000-09-04 00:00:00 UTC,93.733643
2000-09-05 00:00:00 UTC,92.023834
2000-09-06 00:00:00 UTC,92.199181
2000-09-07 00:00:00 UTC,93.558281
2000-09-08 00:00:00 UTC,90.84008
2000-09-11 00:00:00 UTC,87.332733
2000-09-12 00:00:00 UTC,87.683434
2000-09-13 00:00:00 UTC,89.568687
2000-09-14 00:00:00 UTC,88.998756
2000-09-15 00:00:00 UTC,87.683434
2000-09-18 00:00:00 UTC,86.455917
2000-09-19 00:00:00 UTC,87.639664
2000-09-20 00:00:00 UTC,87.508133
2000-09-21 00:00:00 UTC,85.228325
2000-09-22 00:00:00 UTC,86.894341
2000-09-25 00:00:00 UTC,86.280533
2000-09-26 00:00:00 UTC,83.562363
2000-09-27 00:00:00 UTC,82.773186
2000-09-28 00:00:00 UTC,80.844193
2000-09-29 00:00:00 UTC,79.002831
2000-10-02 00:00:00 UTC,82.641716
2000-10-03 00:00:00 UTC,77.556053
2000-10-04 00:00:00 UTC,80.230408
2000-10-05 00:00:00 UTC,79.397354
2000-10-06 00:00:00 UTC,81.370293
2000-10-09 00:00:00 UTC,82.72937
2000-10-10 00:00:00 UTC,80.581116
2000-10-11 00:00:00 UTC,78.564392
2000-10-12 00:00:00 UTC,72.33889
2000-10-13 00:00:00 UTC,76.503845
2000-10-16 00:00:00 UTC,77.950615
2000-10-17 00:00:00 UTC,79.265839
2000-10-18 00:00:00 UTC,66.946358
2000-10-19 00:00:00 UTC,67.647804
2000-10-20 00:00:00 UTC,66.464066
2000-10-23 00:00:00 UTC,65.148827
2000-10-24 00:00:00 UTC,64.140457
2000-10-25 00:00:00 UTC,61.422295
2000-10-26 00:00:00 UTC,65.061142
2000-10-27 00:00:00 UTC,65.718788
2000-10-30 00:00:00 UTC,65.455704
2000-10-31 00:00:00 UTC,69.094574
2000-11-01 00:00:00 UTC,69.138397
2000-11-02 00:00:00 UTC,71.505882
2000-11-03 00:00:00 UTC,70.234467
2000-11-06 00:00:00 UTC,70.36602
2000-11-07 00:00:00 UTC,71.768921
2000-11-08 00:00:00 UTC,70.236015
2000-11-09 00:00:00 UTC,69.840958
2000-11-10 00:00:00 UTC,65.319496
2000-11-13 00:00:00 UTC,68.436234
2000-11-14 00:00:00 UTC,69.884857
2000-11-15 00:00:00 UTC,69.797035
2000-11-16 00:00:00 UTC,69.006897
2000-11-17 00:00:00 UTC,71.596855
2000-11-20 00:00:00 UTC,72.518692
2000-11-21 00:00:00 UTC,69.182495
2000-11-22 00:00:00 UTC,69.182495
2000-11-23 00:00:00 UTC,69.182495
2000-11-24 00:00:00 UTC,70.192108
2000-11-27 00:00:00 UTC,69.138588
2000-11-28 00:00:00 UTC,68.743515
2000-11-29 00:00:00 UTC,70.104332
2000-11-30 00:00:00 UTC,65.670677
2000-12-01 00:00:00 UTC,67.163185
2000-12-04 00:00:00 UTC,69.094666
2000-12-05 00:00:00 UTC,72.606476
2000-12-06 00:00:00 UTC,67.953377
2000-12-07 00:00:00 UTC,65.40731
2000-12-08 00:00:00 UTC,68.128929
2000-12-11 00:00:00 UTC,66.72422
2000-12-12 00:00:00 UTC,65.934082
2000-12-13 00:00:00 UTC,64.09037
2000-12-14 00:00:00 UTC,64.924393
2000-12-15 00:00:00 UTC,61.676022
2000-12-18 00:00:00 UTC,63.563595
2000-12-19 00:00:00 UTC,63.300217
2000-12-20 00:00:00 UTC,60.403004
2000-12-21 00:00:00 UTC,57.28627
2000-12-22 00:00:00 UTC,62.510056
2000-12-25 00:00:00 UTC,62.510056
2000-12-26 00:00:00 UTC,59.568932
2000-12-27 00:00:00 UTC,59.481144
2000-12-28 00:00:00 UTC,59.876217
2000-12-29 00:00:00 UTC,59.700642
2001-01-01 00:00:00 UTC,59.700642
2001-01-02 00:00:00 UTC,59.568932
2001-01-03 00:00:00 UTC,66.460838
2001-01-04 00:00:00 UTC,65.451202
2001-01-05 00:00:00 UTC,66.021828
2001-01-08 00:00:00 UTC,65.714577
2001-01-09 00:00:00 UTC,65.012207
2001-01-10 00:00:00 UTC,65.62677
2001-01-11 00:00:00 UTC,65.802353
2001-01-12 00:00:00 UTC,65.890144
2001-01-15 00:00:00 UTC,65.890144
2001-01-16 00:00:00 UTC,65.143921
2001-01-17 00:00:00 UTC,67.909439
2001-01-18 00:00:00 UTC,76.074417
2001-01-19 00:00:00 UTC,78.137566
2001-01-22 00:00:00 UTC,76.249985
2001-01-23 00:00:00 UTC,76.601128
2001-01-24 00:00:00 UTC,77.56691
2001-01-25 00:00:00 UTC,77.786377
2001-01-26 00:00:00 UTC,80.20076
2001-01-29 00:00:00 UTC,80.757416
2001-01-30 00:00:00 UTC,81.902245
2001-01-31 00:00:00 UTC,78.664337
2001-02-01 00:00:00 UTC,80.104195
2001-02-02 00:00:00 UTC,77.449249
2001-02-05 00:00:00 UTC,78.818871
2001-02-06 00:00:00 UTC,80.202515
2001-02-07 00:00:00 UTC,82.206512
2001-02-08 00:00:00 UTC,80.230644
2001-02-09 00:00:00 UTC,78.754013
2001-02-12 00:00:00 UTC,80.793159
2001-02-13 00:00:00 UTC,79.984512
2001-02-14 00:00:00 UTC,80.933769
2001-02-15 00:00:00 UTC,82.11512
2001-02-16 00:00:00 UTC,80.863472
2001-02-19 00:00:00 UTC,80.863472
2001-02-20 00:00:00 UTC,78.402405
2001-02-21 00:00:00 UTC,75.596786
2001-02-22 00:00:00 UTC,76.574211
2001-02-23 00:00:00 UTC,73.1287
2001-02-26 00:00:00 UTC,74.042816
